Feature Name,Data Type,Description,Status,Created At,Created By,Updated At,Updated By,Destination Table,Update Window,Version,Query Path,Dependent Features,Weight,Is Risk,Query,Is Active,Source Table,Feature ID
doc_qc_error_doe2_incidents,double,Incidents of DOE2 errors found for the operator by QC,PROD,"12/2/2026, 12:10 PM",priyanshug.nisg,"13/3/2026, 4:28 PM",saksham.nisg,strot.operator360.features_document_v1,24h,1,,"[table_used:strot.operator360.eid_qc_error_report_v2, period_in_days:180]",,,,,strot.operator360.eid_qc_error_report_v2,doc_qc_error_doe2_incidents_24h_v1
risk_score,double,Combined score of the opeartor based on active risk features,PROD,"25/3/2026, 10:55 AM",saksham.nisg,,,strot.operator360.features_risk_v1,24h,2,,"[sustxn_outstate_pkts_score_v1:2, work_machine_change_score_v1:4, bio_mfc_fraud_score_v1:4, bio_sfc_fraud_score_v1:1, work_opt_hof_score_v1:4, work_pob_declared_score_v1:2, work_opt_machinesync_score_v1:2, hardware_machine_change_score_v1:4, sustxn_res_mobilechange_score_v1:2, sustxn_oddhour_pkts_score_v1:2, hardware_multiple_biodev_score_v1:4, sustxn_res_namechange_score_v1:2, work_multiple_optname_score_v1:4]",,,,,strot.operator360.features_risk_v1,risk_score_24h_v2
work_packet_upload_update_count_daily,double,Count of number of Update packets uploaded by the operator during the previous calender day,STAGING,"15/4/2026, 4:57 PM",saksham.nisg,,,strot.operator360.opt_features_test,24h,1,,[period_in_days:1],,,,,flink_stream.stream_enu.ens_packet_enriched,work_packet_upload_update_count_daily_v1
work_machine_ip_change_instances_count_daily,double,Count of different ips that a UC operator has worked on,STAGING,"15/4/2026, 8:55 AM",saksham.nisg,,,strot.operator360.opt_features_test,24h,1,,[period_in_days:1],,,,,flink_stream.stream_enu.enu_uc_opt_action_v2,work_machine_ip_change_instances_count_daily_v1
work_packet_upload_new_count_daily,double,Count of number of new enrolment packets by the operator during the previous calender day,STAGING,"15/4/2026, 4:52 PM",saksham.nisg,,,strot.operator360.opt_features_test,24h,1,,[period_in_days:1],,,,,flink_stream.stream_enu.ens_packet_enriched,work_packet_upload_new_count_daily_v1
sustxn_res_namechange_score,double,Relative score of the operator based on number of name change attempts,PROD,"15/2/2026, 8:55 AM",saksham.nisg,,,strot.operator360.features_risk_v1,24h,1,,"[features_used:sustxn_res_namechange_instances_v1, fraud_table:strot.operator360.features_sustxn_v1, score_start:0.9, score_end:1.0]",,true,,,,sustxn_res_namechange_score_24h_v1
dormant,double,Stauts of operator which are marked as active but havent made any packets,STAGING,"20/3/2026, 11:21 AM",saksham.nisg,,,strot.operator360.opt_features_test,24h,1,,[period_in_days:90],,,,,flink_stream.stream_enu.ens_packet_enriched,dormant_24h_v1
bio_mfc_right_iris_swap_incidents,double,Fraudulent packets identified in MFC for the operator on the previous day having Swapped verdict for right iris,PROD,"24/2/2026, 1:00 PM",saksham.nisg,,,strot.operator360.features_bio_v1,24h,1,,"[period_in_days:1, filter_condition:is_right_iris_swap=true]",,,,,strot.operator360.bio_mfc_iris_fraud_refids,bio_mfc_right_iris_swap_incidents_24h_v1
bio_mfc_iris_pop_incidents,double,Fraudulent packets identified in MFC for the operator on the previous day having Photo on Photo verdict for iris,PROD,"24/2/2026, 1:00 PM",saksham.nisg,,,strot.operator360.features_bio_v1,24h,1,,"[period_in_days:1, filter_condition:(is_right_iris_photo_on_photo=true or is_left_iris_photo_on_photo=true)]",,,,,strot.operator360.bio_mfc_iris_fraud_refids,bio_mfc_iris_pop_incidents_24h_v1
auth_liveness_fraud_pkts_count,double,Distribution of packets that operator made within 2 successful authentication where first success authentication occurs after liveness failure,PROD,"16/3/2026, 6:05 PM",saksham.nisg,"20/3/2026, 12:40 PM",saksham.nisg,strot.operator360.features_auth_v1,24h,1,,"[period_in_days:1, scan_period_sec:300]",,,,,flink_stream.operator360.opt_auth_txn_v3,auth_liveness_fraud_pkts_count_24h_v1
auth_category_score,double,Combined authentication category score for the operator based on differnt authentication score,PROD,"6/4/2026, 6:52 PM",saksham.nisg,,,strot.operator360.features_risk_v1,24h,1,,"[auth_device_change_score_24h_v1:1, auth_failure_ratio_score_24h_v1:1, auth_liveness_failure_streak_score_24h_v1:1, auth_oddhour_txn_score_24h_v1:1, auth_txn_failure_gap_score_24h_v1:1]",,,,,strot.operator360.features_risk_v1,auth_category_score_24h_v1
auth_txn_success_count,double,Count of number of success authentication attempts by the operator,PROD,"12/3/2026, 12:06 PM",saksham.nisg,,,flink_stream.operator360.features_auth_v1,1h,1,,[],,,,,flink_stream.operator360.opt_auth_txn_v3,auth_txn_success_count_1h_v1
auth_device_change_incidents_Finger,double,Count of number of authentication device changes by the operator within Finger Modality,PROD,"7/4/2026, 4:14 PM",saksham.nisg,,,strot.operator360.features_auth_v1,24h,1,,[period_in_days:1],,,,,flink_stream.operator360.opt_auth_txn_v3,auth_device_change_incidents_Finger_24h_v1
auth_retry_attempts_incidents,double,Retry attempts that operator takes between 2 successive succesfulL attempts,PROD,"12/3/2026, 12:02 PM",saksham.nisg,,,flink_stream.operator360.opt_auth_features_v2,live,1,,[],,,,,flink_stream.operator360.opt_auth_txn_v3,auth_retry_attempts_incidents_live_v1
work_machine_change_zscore,double,Relative Z-Score of the operator based on historical machine use count,PROD,"9/3/2026, 4:45 PM",saksham.nisg,"13/3/2026, 4:29 PM",saksham.nisg,strot.operator360.features_risk_v1,24hr,1,,"[feature_used:work_machine_change_instances_v1, fraud_table:strot.operator360.features_work_v1]",,,,,,work_machine_change_zscore_24hr_v1
work_opt_machinesync_zscore,double,Relative Z-Score of the operator based packet rate during the period of non syncing machines,PROD,"9/3/2026, 5:54 PM",saksham.nisg,"13/3/2026, 4:29 PM",saksham.nisg,strot.operator360.features_risk_v1,24hr,1,,"[feature_used:work_opt_machinesync_instances_v1, fraud_table:strot.operator360.features_work_v1]",,,,,,work_opt_machinesync_zscore_24hr_v1
hardware_machine_change_zscore,double,Relative Z-Score of the operator based on historical machine change count,PROD,"9/3/2026, 6:00 PM",saksham.nisg,"13/3/2026, 4:29 PM",saksham.nisg,strot.operator360.features_risk_v1,24hr,1,,"[feature_used:hardware_machine_change_instances_v1, fraud_table:strot.operator360.features_hardware_v1]",,,,,,hardware_machine_change_zscore_24hr_v1
work_pob_declared_zscore,double,Relative Z-Score of the operator based on historical pob fraud count,PROD,"9/3/2026, 5:57 PM",saksham.nisg,"13/3/2026, 4:29 PM",saksham.nisg,strot.operator360.features_risk_v1,24hr,1,,"[feature_used:work_pob_declared_instances_v1, fraud_table:strot.operator360.features_work_v1]",,,,,,work_pob_declared_zscore_24hr_v1
work_opt_hof_zscore,double,Relative Z-Score of the operator based on hof count,PROD,"9/3/2026, 5:56 PM",saksham.nisg,"13/3/2026, 4:29 PM",saksham.nisg,strot.operator360.features_risk_v1,24hr,1,,"[feature_used:work_opt_hof_instances_v1, fraud_table:strot.operator360.features_work_v1]",,,,,,work_opt_hof_zscore_24hr_v1
sustxn_oddhour_pkts_zscore,double,Relative Z-Score of the operator based on number of oddhour packets,PROD,"9/3/2026, 5:44 PM",saksham.nisg,"13/3/2026, 4:29 PM",saksham.nisg,strot.operator360.features_risk_v1,24hr,1,,"[feature_used:sustxn_oddhour_pkts_instances_v1, fraud_table:strot.operator360.features_sustxn_v1]",,,,,,sustxn_oddhour_pkts_zscore_24hr_v1
hardware_multiple_biodev_instances,integer,Number of bio devices used by the operators,PROD,"13/2/2026, 11:05 AM",saksham.nisg,,,strot.operator360.features_hardware_v1,24h,1,,[period_in_days:90],,,,,flink_stream.stream_enu.bi_enu_enrlraw_v2,hardware_multiple_biodev_instances_24h_v1
bio_mfc_face_nonhuman_incidents,double,Fraudulent packets identified in MFC for the operator on the previous day having Non Human verdict for face,PROD,"24/2/2026, 1:00 PM",saksham.nisg,,,strot.operator360.features_bio_v1,24h,1,,"[period_in_days:1, filter_condition:is_face_non_human=true]",,,,,strot.operator360.bio_mfc_face_fraud_refids,bio_mfc_face_nonhuman_incidents_24h_v1
auth_device_change_incidents_Face,double,Count of number of authentication device changes by the operator within Face Modality,PROD,"7/4/2026, 4:14 PM",saksham.nisg,,,strot.operator360.features_auth_v1,24h,1,,[period_in_days:1],,,,,flink_stream.operator360.opt_auth_txn_v3,auth_device_change_incidents_Face_24h_v1
auth_txn_gap_sec,double,Time between 2 attempts of authenication by the operator,STAGING,"12/3/2026, 12:09 PM",saksham.nisg,,,flink_stream.operator360.features_auth_v1,live,1,,[],,,,,flink_stream.operator360.opt_auth_txn_v3,auth_txn_gap_sec_live_v1
bio_mfc_iris_fraud_incidents,double,Fraudulent packets identified in MFC for the operator on the previous day having unsystematic verdict for iris,PROD,"24/2/2026, 1:00 PM",saksham.nisg,,,strot.operator360.features_bio_v1,24h,1,,"[period_in_days:1, filter_condition:(is_right_iris_fraud=true or is_left_iris_fraud=true)]",,,,,strot.operator360.bio_mfc_iris_fraud_refids,bio_mfc_iris_fraud_incidents_24h_v1
auth_retry_attempts_score,double,Score based on authentication retry attempts of an operator over last 30 days,STAGING,"30/3/2026, 10:24 AM",saksham.nisg,,,strot.operator360.features_risk_v1,24h,1,,"[features_used:auth_retry_attempts_incidents_live_v1, fraud_table:flink_stream.operator360.features_auth_v1]",,,,,flink_stream.operator360.features_auth_v1,auth_retry_attempts_score_24h_v1
work_multiple_optname_score,double,Relative score of the operator based count of names used by operator,PROD,"15/2/2026, 8:46 AM",saksham.nisg,,,strot.operator360.features_risk_v1,24h,1,,"[features_used:work_multiple_optname_instances_24_v1, fraud_table:strot.operator360.features_work_v1, score_start:0, score_end:1.0]",,true,,,,work_multiple_optname_score_24h_v1
sustxn_res_mobilechange_instances,integer,Incidents of operator attempting mobile change of same resident,PROD,"15/2/2026, 8:53 AM",saksham.nisg,"19/2/2026, 5:34 PM",saksham.nisg,strot.operator360.features_sustxn_v1,24hr,1,,[min_pkt_date:2020-01-01],,,,,strot.mysql_uid_v2.uid_origin_tracker_enriched,sustxn_res_mobilechange_instances_24hr_v1
auth_pktcreate_interval_avg,double,Average time between a successfull authentication and the imediate next packet creation,PROD,"16/3/2026, 6:11 PM",saksham.nisg,"20/3/2026, 12:06 PM",saksham.nisg,strot.operator360.features_auth_v1,24h,1,,[period_in_days:1],,,,,flink_stream.operator360.opt_auth_txn_v3,auth_pktcreate_interval_avg_24h_v1
bio_packet_slap_right_toe_print_count_daily,double,Daily count of RIGHT SLAP TOE_PRINT incidents by operator in Bio packets.,PROD,"13/4/2026, 3:17 PM",sai.nisg,,,strot.operator360.features_bio_v1,24h,1,,"[period_in_days:daily, filter_condition:subtype = 'RIGHT_SLAP' AND errorreasoncode = 'TOE_PRINT']",,,,,None,bio_packet_right_slap_toe_print_count_daily_v1
bio_packet_iris_right_pop_count_daily,double,Daily count of RIGHT IRIS POP incidents by operator in Bio packets.,PROD,"13/4/2026, 2:54 PM",sai.nisg,,,strot.operator360.features_bio_v1,24h,1,,"[period_in_days:daily, filter_condition:subtype = 'RIGHT_IRIS' AND errorreasoncode = 'PHOTO_ON_PHOTO']",,,,,None,bio_packet_right_iris_pop_count_daily_v1
bio_packet_finger_fraud_count_daily,double,Daily count of FINGER fraud incidents by operator in Bio packets.,PROD,"13/4/2026, 3:18 PM",sai.nisg,,,strot.operator360.features_bio_v1,24h,1,,[period_in_days:daily],,,,,None,bio_packet_finger_fraud_count_daily_v1
bio_packet_face_adult_as_child_count_daily,double,Daily count of FACE incidents by operator in Bio packets where errorreasoncode=ADULT_AS_CHILD.,PROD,"13/4/2026, 2:34 PM",sai.nisg,"13/4/2026, 2:34 PM",sai.nisg,strot.operator360.features_bio_v1,24h,1,,"[period_in_days:daily, filter_condition:errorreasoncode = 'ADULT_AS_CHILD']",,,,,None,bio_packet_face_adult_as_child_count_daily_v1
auth_retry_duration_sec,double,Time between 2 retry attempts of authenication by the operator,PROD,"12/3/2026, 12:07 PM",saksham.nisg,,,flink_stream.operator360.features_auth_v1,live,1,,[],,,,,flink_stream.operator360.opt_auth_txn_v3,auth_retry_duration_sec_live_v1
work_multiple_optname_zscore,double,Relative Z-Score of the operator based count of names used by operator,PROD,"9/3/2026, 5:55 PM",saksham.nisg,"13/3/2026, 4:29 PM",saksham.nisg,strot.operator360.features_risk_v1,24hr,1,,"[feature_used:work_multiple_optname_instances_24h_v1, fraud_table:strot.operator360.features_work_v1]",,,,,,work_multiple_optname_zscore_24hr_v1
bio_packet_fraud_count_daily,double,Daily Count of the Fraud incidents by operator in Bio packets,PROD,"9/4/2026, 4:38 PM",sai.nisg,"13/4/2026, 2:00 PM",sai.nisg,strot.operator360.features_bio_v1,24h,1,,[period_in_days:daily],,,,,None,bio_packet_fraud_count_daily_v1
auth_oddhour_txn_score,double,Score based on authentication done by the operator during odd hours thats 10 to 6,PROD,"5/4/2026, 9:22 AM",saksham.nisg,,,strot.operator360.features_risk_v1,24h,1,,"[features_used:auth_oddhour_incidents_24h_v1, fraud_table:strot.operator360.features_auth_v1]",,,,,flink_stream.operator360.features_auth_v1,auth_oddhour_txn_score_24h_v1
bio_packet_slap_left_fraud_count_daily,double,Daily count of LEFT SLAP fraud incidents by operator in Bio packets.,PROD,"13/4/2026, 3:17 PM",sai.nisg,,,strot.operator360.features_bio_v1,24h,1,,"[period_in_days:daily, filter_condition:subtype = 'LEFT_SLAP']",,,,,None,bio_packet_left_slap_fraud_count_daily_v1
bio_packet_slap_left_mixed_count_daily,double,Daily count of LEFT SLAP MIXED incidents by operator in Bio packets.,PROD,"13/4/2026, 3:17 PM",sai.nisg,,,strot.operator360.features_bio_v1,24h,1,,"[period_in_days:daily, filter_condition:subtype = 'LEFT_SLAP' AND errorreasoncode = 'MIXED']",,,,,None,bio_packet_left_slap_mixed_count_daily_v1
bio_packet_iris_pop_count_daily,double,Daily count of IRIS POP incidents by operator in Bio packets.,PROD,"13/4/2026, 2:54 PM",sai.nisg,,,strot.operator360.features_bio_v1,24h,1,,"[period_in_days:daily, filter_condition:errorreasoncode = 'PHOTO_ON_PHOTO']",,,,,None,bio_packet_iris_pop_count_daily_v1
bio_packet_iris_left_fraud_count_daily,double,Daily count of LEFT IRIS fraud incidents by operator in Bio packets.,PROD,"13/4/2026, 2:54 PM",sai.nisg,,,strot.operator360.features_bio_v1,24h,1,,"[period_in_days:daily, filter_condition:subtype = 'LEFT_IRIS']",,,,,None,bio_packet_left_iris_fraud_count_daily_v1
bio_mfc_right_slap_toeprint_incidents,double,Fraudulent packets identified in MFC for the operator on the previous day having Toe Print verdict for right slap,PROD,"24/2/2026, 1:00 PM",saksham.nisg,,,strot.operator360.features_bio_v1,24h,1,,"[period_in_days:1, filter_condition:is_right_slap_toe_print=true]",,,,,strot.operator360.bio_mfc_slap_fraud_refids,bio_mfc_right_slap_toeprint_incidents_24h_v1
work_opt_machinesync_score,double,Relative score of the operator based packet rate during the period of non syncing machines,PROD,"15/2/2026, 8:48 AM",saksham.nisg,,,strot.operator360.features_risk_v1,24h,1,,"[features_used:work_opt_machinesync_instances_v1, fraud_table:strot.operator360.features_work_v1, score_start:0.5, score_end:1.0]",,true,,,,work_opt_machinesync_score_24h_v1
work_packet_upload_total_count_hourly,double,Count of packets uploaded by the operator during the last hour as compared to the current timestamp,STAGING,"15/4/2026, 5:01 PM",saksham.nisg,,,strot.operator360.opt_features_test,24h,1,,[period_in_days:1],,,,,flink_stream.stream_enu.ens_packet_enriched,work_packet_upload_total_count_hourly_v1
work_packet_upload_new_count_hourly,double,Count of new enrolment packets uploaded by the operator during the last hour as compared to the current timestamp,STAGING,"15/4/2026, 5:01 PM",saksham.nisg,,,strot.operator360.opt_features_test,24h,1,,[period_in_days:1],,,,,flink_stream.stream_enu.ens_packet_enriched,work_packet_upload_new_count_hourly_v1
work_packet_upload_update_count_hourly,double,Count of number of Update packets uploaded by the operator during the last hour as compared to the current timestamp,STAGING,"15/4/2026, 5:00 PM",saksham.nisg,,,strot.operator360.opt_features_test,24h,1,,[period_in_days:1],,,,,flink_stream.stream_enu.ens_packet_enriched,work_packet_upload_update_count_hourly_v1
bio_packet_slap_right_fraud_count_daily,double,Daily count of RIGHT SLAP fraud incidents by operator in Bio packets.,PROD,"13/4/2026, 3:17 PM",sai.nisg,,,strot.operator360.features_bio_v1,24h,1,,"[period_in_days:daily, filter_condition:subtype = 'RIGHT_SLAP']",,,,,None,bio_packet_right_slap_fraud_count_daily_v1
bio_packet_iris_non_human_count_daily,double,Daily count of IRIS NON_HUMAN incidents by operator in Bio packets.,PROD,"13/4/2026, 2:54 PM",sai.nisg,,,strot.operator360.features_bio_v1,24h,1,,"[period_in_days:daily, filter_condition:errorreasoncode = 'NON_HUMAN']",,,,,None,bio_packet_iris_non_human_count_daily_v1
bio_packet_iris_swap_count_daily,double,Daily count of IRIS SWAP incidents by operator in Bio packets.,PROD,"13/4/2026, 2:54 PM",sai.nisg,,,strot.operator360.features_bio_v1,24h,1,,"[period_in_days:daily, filter_condition:errorreasoncode = 'SWAP']",,,,,None,bio_packet_iris_swap_count_daily_v1
bio_packet_iris_right_swap_count_daily,double,Daily count of RIGHT IRIS SWAP incidents by operator in Bio packets.,PROD,"13/4/2026, 2:54 PM",sai.nisg,,,strot.operator360.features_bio_v1,24h,1,,"[period_in_days:daily, filter_condition:subtype = 'RIGHT_IRIS' AND errorreasoncode = 'SWAP']",,,,,None,bio_packet_right_iris_swap_count_daily_v1
bio_mfc_iris_nonhuman_incidents,double,Fraudulent packets identified in MFC for the operator on the previous day having Non Human verdict for iris,PROD,"24/2/2026, 1:00 PM",saksham.nisg,,,strot.operator360.features_bio_v1,24h,1,,"[period_in_days:1, filter_condition:(is_right_iris_non_human=true or is_left_iris_non_human=true)]",,,,,strot.operator360.bio_mfc_iris_fraud_refids,bio_mfc_iris_nonhuman_incidents_24h_v1
bio_mfc_left_iris_mixed_incidents,double,Fraudulent packets identified in MFC for the operator on the previous day having Mixed verdict for left iris,PROD,"24/2/2026, 1:00 PM",saksham.nisg,,,strot.operator360.features_bio_v1,24h,1,,"[period_in_days:1, filter_condition:is_left_iris_mixed=true]",,,,,strot.operator360.bio_mfc_iris_fraud_refids,bio_mfc_left_iris_mixed_incidents_24h_v1
work_opt_hof_instances,integer,UIDs where operator serves as HOF,PROD,"13/2/2026, 4:38 PM",saksham.nisg,,,strot.operator360.features_work_v1,24h,1,,[],,,,,,work_opt_hof_instances_24h_v1
bio_mfc_face_pop_incidents,double,Fraudulent packets identified in MFC for the operator on the previous day having Photo on Photo verdict for face,PROD,"24/2/2026, 1:00 PM",saksham.nisg,,,strot.operator360.features_bio_v1,24h,1,,"[period_in_days:1, filter_condition:is_face_photo_on_photo=true]",,,,,strot.operator360.bio_mfc_face_fraud_refids,bio_mfc_face_pop_incidents_24h_v1
bio_packet_slap_right_mixed_count_daily,double,Daily count of RIGHT SLAP MIXED incidents by operator in Bio packets.,PROD,"13/4/2026, 3:17 PM",sai.nisg,,,strot.operator360.features_bio_v1,24h,1,,"[period_in_days:daily, filter_condition:subtype = 'RIGHT_SLAP' AND errorreasoncode = 'MIXED']",,,,,None,bio_packet_right_slap_mixed_count_daily_v1
bio_packet_iris_left_non_human_count_daily,double,Daily count of LEFT IRIS NON_HUMAN incidents by operator in Bio packets.,PROD,"13/4/2026, 2:54 PM",sai.nisg,,,strot.operator360.features_bio_v1,24h,1,,"[period_in_days:daily, filter_condition:subtype = 'LEFT_IRIS' AND errorreasoncode = 'NON_HUMAN']",,,,,None,bio_packet_left_iris_non_human_count_daily_v1
bio_packet_iris_right_non_human_count_daily,double,Daily count of RIGHT IRIS NON_HUMAN incidents by operator in Bio packets.,PROD,"13/4/2026, 2:54 PM",sai.nisg,,,strot.operator360.features_bio_v1,24h,1,,"[period_in_days:daily, filter_condition:subtype = 'RIGHT_IRIS' AND errorreasoncode = 'NON_HUMAN']",,,,,None,bio_packet_right_iris_non_human_count_daily_v1
bio_packet_finger_swap_count_daily,double,Daily count of FINGER SWAP incidents by operator in Bio packets.,PROD,"13/4/2026, 3:17 PM",sai.nisg,,,strot.operator360.features_bio_v1,24h,1,,"[period_in_days:daily, filter_condition:errorreasoncode = 'SWAP']",,,,,None,bio_packet_finger_swap_count_daily_v1
auth_livenessfail_pkt_incidents,double,Packets made between two sets of liveness failure and then successfull authentication,STAGING,"16/3/2026, 6:03 PM",saksham.nisg,"17/3/2026, 11:29 AM",saksham.nisg,strot.operator360.opt_features_test,24h,1,,[period_in_days:1],,,,,flink_stream.operator360.opt_auth_txn_v3,auth_livenessfail_pkt_incidents_24h_v1
hardware_machine_change_instances,double,Number of machine ids which have been changed and operator have worked on them,PROD,"24/3/2026, 7:06 PM",saksham.nisg,,,strot.operator360.features_hardware_v1,24h,2,,[period_in_days:1],,,,,,hardware_machine_change_instances_24h_v2
work_opt_machinesync_instances,double,Rate of packets for the operators which are not syncing for more than 60 days and still making packing in the non sync duration,PROD,"13/2/2026, 1:12 PM",saksham.nisg,,,strot.operator360.features_work_v1,24h,1,,[period_in_days:60],,,,,flink_stream.stream_enu.enu_operator_sync_raw,work_opt_machinesync_instances_24h_v1
sustxn_outstate_pkts_instances,integer,Number of packets that Operator made that dont belong to his state,PROD,"13/2/2026, 1:08 PM",saksham.nisg,,,strot.operator360.features_sustxn_v1,24h,1,,[period_in_days:90],,,,,strot.operator360.opt_outstate_anomalous_ens_eid_daily,sustxn_outstate_pkts_instances_24h_v1
bio_mfc_right_iris_nonhuman_incidents,double,Fraudulent packets identified in MFC for the operator on the previous day having Non Human verdict for right iris,PROD,"24/2/2026, 1:00 PM",saksham.nisg,,,strot.operator360.features_bio_v1,24h,1,,"[period_in_days:1, filter_condition:is_right_iris_non_human=true]",,,,,strot.operator360.bio_mfc_iris_fraud_refids,bio_mfc_right_iris_nonhuman_incidents_24h_v1
bio_sfc_fraud_incidents,double,Incidents of packets found in systematic fraud check on a daily basis,PROD,"11/2/2026, 4:32 PM",priyanshug.nisg,"22/2/2026, 8:16 AM",saksham.nisg,strot.operator360.features_bio_v1,24h,1,,[period_in_days:1],,,,,strot.operator360.opt_anomalous_sfc_eid_daily,bio_sfc_fraud_incidents_24h_v1
work_pob_declared_score,double,Relative score of the operator based on historical pob fraud count,PROD,"15/2/2026, 8:44 AM",saksham.nisg,,,strot.operator360.features_risk_v1,24h,1,,"[features_used:work_pob_declared_instances_v1, fraud_table:strot.operator360.features_work_v1, score_start:0.5, score_end:1.0]",,true,,,,work_pob_declared_score_24h_v1
auth_device_change_incidents_Iris,double,Count of number of authentication device changes by the operator within Iris Modality,PROD,"7/4/2026, 4:13 PM",saksham.nisg,,,strot.operator360.features_auth_v1,24h,1,,[period_in_days:1],,,,,flink_stream.operator360.opt_auth_txn_v3,auth_device_change_incidents_Iris_24h_v1
hardware_multiple_biodev_score,double,Relative score of the operator based on number of biodev it uses,PROD,"15/2/2026, 10:01 AM",saksham.nisg,,,strot.operator360.features_risk_v1,24h,1,,"[features_used:hardware_multiple_biodev_instances_v1, fraud_table:strot.operator360.features_hardware_v1, score_start:0.5, score_end:1.0]",,true,,,,hardware_multiple_biodev_score_24h_v1
bio_mfc_left_iris_swap_incidents,double,Fraudulent packets identified in MFC for the operator on the previous day having Swapped verdict for left iris,PROD,"24/2/2026, 1:00 PM",saksham.nisg,,,strot.operator360.features_bio_v1,24h,1,,"[period_in_days:1, filter_condition:is_left_iris_swap=true]",,,,,strot.operator360.bio_mfc_iris_fraud_refids,bio_mfc_left_iris_swap_incidents_24h_v1
doc_qc_error_de_incidents,double,Incidents of DE errors found for the operator by QC,PROD,"12/2/2026, 12:10 PM",priyanshug.nisg,"13/3/2026, 4:28 PM",saksham.nisg,strot.operator360.features_document_v1,24h,1,,"[table_used:strot.operator360.eid_qc_error_report_v2, period_in_days:180]",,,,,strot.operator360.eid_qc_error_report_v2,doc_qc_error_de_incidents_24h_v1
